Date,Open,High,Low,Close,Adj Close,Volume
18-01-2018,26762.25,26887.65,26423.75,26537.40,26537.09,0.00
19-01-2018,26615.65,26957.85,26433.55,26909.50,26909.19,0.00
22-01-2018,26940.50,27074.90,26841.20,27041.20,27040.88,0.00
23-01-2018,27089.95,27422.05,27066.15,27390.60,27390.28,0.00
24-01-2018,27310.15,27479.25,27219.45,27398.55,27398.23,0.00
25-01-2018,27414.10,27522.85,27151.75,27445.65,27445.33,0.00
29-01-2018,27446.10,27652.05,27407.40,27498.45,27498.13,0.00
30-01-2018,27466.85,27470.25,27242.05,27269.05,27268.73,0.00
31-01-2018,27136.25,27455.75,27116.95,27379.45,27379.13,0.00
01-02-2018,27334.85,27613.50,27046.35,27220.70,27220.38,0.00
02-02-2018,27017.40,27017.55,26364.05,26451.15,26450.84,0.00
05-02-2018,25968.15,26215.10,25917.55,26098.75,26098.45,0.00
06-02-2018,25140.10,26140.60,25023.85,25811.30,25811.00,0.00
07-02-2018,26065.40,26078.40,25558.05,25670.00,25669.70,0.00
08-02-2018,25759.85,26126.40,25637.40,25920.65,25920.35,0.00
09-02-2018,25466.30,25598.30,25371.00,25463.65,25463.35,0.00
12-02-2018,25530.10,25757.85,25485.40,25701.60,25701.30,0.00
14-02-2018,25810.25,25810.25,25212.35,25341.25,25340.96,0.00
15-02-2018,25360.90,25615.15,25295.15,25424.35,25424.05,0.00
16-02-2018,25511.95,25601.00,25100.90,25163.90,25163.61,0.00
19-02-2018,25324.60,25326.05,24824.55,25058.55,25058.26,265300.00
20-02-2018,25105.55,25158.10,24829.00,24874.40,24874.11,0.00
21-02-2018,24996.60,24999.70,24796.35,24936.70,24936.41,0.00
22-02-2018,24812.70,24987.05,24781.70,24955.20,24954.91,0.00
23-02-2018,25002.25,25345.15,24962.85,25302.50,25302.21,0.00
26-02-2018,25452.00,25722.15,25381.20,25687.90,25687.60,0.00
27-02-2018,25684.60,25723.55,25356.40,25383.60,25383.30,0.00
28-02-2018,25116.25,25192.95,24942.00,25107.40,25107.11,0.00
01-03-2018,25022.35,25226.05,24854.40,24902.55,24902.26,0.00
05-03-2018,24831.35,24873.05,24682.00,24818.70,24818.41,134500.00
06-03-2018,24964.10,25040.25,24362.05,24448.45,24448.17,0.00
07-03-2018,24333.85,24373.40,24096.75,24134.10,24133.82,0.00
08-03-2018,24273.90,24534.50,24048.55,24477.65,24477.37,0.00
09-03-2018,24556.95,24564.75,24259.70,24296.45,24296.17,0.00
12-03-2018,24443.60,24716.05,24358.50,24664.20,24663.91,0.00
13-03-2018,24624.60,25009.65,24597.55,24738.65,24738.36,0.00
14-03-2018,24629.65,24894.30,24487.00,24851.65,24851.36,0.00
15-03-2018,24854.30,24939.85,24732.00,24791.85,24791.56,0.00
16-03-2018,24753.65,24785.35,24439.15,24489.55,24489.27,0.00
19-03-2018,24530.15,24588.05,24186.95,24245.10,24244.82,0.00
20-03-2018,24133.95,24355.65,24082.95,24168.20,24167.92,0.00
21-03-2018,24331.30,24459.75,24208.65,24255.60,24255.32,0.00
22-03-2018,24252.95,24314.40,24094.85,24141.50,24141.22,0.00
